date and time,content
2021-12-14 10:34:23+00:00,Tesla will make some merch buyable with Doge &amp; see how it goes
2021-12-13 22:21:51+00:00,Will also be important for Mars
2021-12-13 22:21:34+00:00,SpaceX is starting a program to take CO2 out of atmosphere &amp; turn it into rocket fuel. Please join if interested.
2021-12-12 12:47:36+00:00,https://t.co/5LE1PjFwgS
2021-12-12 12:29:34+00:00,Sine qua non non https://t.co/iTBlSwiX53
2021-12-12 12:27:32+00:00,Sorry https://t.co/ppBPBAWxZ6
2021-12-12 03:44:29+00:00,Just did a @HardcoreHistory episode with Dan Carlin. Hope you like it.
2021-12-11 20:12:56+00:00,"“No better friend, no worse enemy” https://t.co/e2TeRBiFbg"
2021-12-10 17:52:37+00:00,Mars &amp; Cars
2021-12-10 17:29:40+00:00,"Wow, only three weeks to 2022! 
What will 2032 will be like? 
Seems so futuristic!
Will we be on Mars?"
2021-12-10 17:19:13+00:00,Hahaha … ?1
2021-12-10 02:51:25+00:00,https://t.co/ZrZ1EfLYWy
